timestamp,label_1,count_1,avg_conf_1,label_2,count_2,avg_conf_2,label_3,count_3,avg_conf_3
2024-05-09 07:18:00,school bus,2,0.75,,,,,,
2024-05-09 15:12:00,school bus,3,0.85,,,,,,
2024-05-09 14:27:00,mail truck,2,0.82,,,,,,
2024-05-09 06:11:00,stroller,1,0.76,,,,,,
2024-05-09 06:40:00,bird,3,0.82,cat,4.0,0.93,truck,2.0,0.67
2024-05-09 08:00:00,person,1,0.98,ups truck,4.0,0.85,dog,2.0,0.8
2024-05-10 07:06:00,school bus,1,0.79,,,,,,
2024-05-10 15:26:00,school bus,3,0.86,,,,,,
2024-05-10 14:52:00,mail truck,3,0.99,,,,,,
2024-05-10 12:55:00,cat,5,0.93,person,5.0,0.62,stroller,1.0,0.57
2024-05-10 13:11:00,cat,4,0.66,,,,,,
2024-05-10 08:42:00,stroller,2,0.64,fedex truck,3.0,0.79,car,3.0,0.75
2024-05-11 22:25:00,racoon,3,0.8,,,,,,
2024-05-11 03:30:00,racoon,2,0.91,,,,,,
2024-05-11 12:40:00,bird,3,0.99,,,,,,
2024-05-11 17:23:00,ups truck,4,0.6,bicycle,5.0,0.83,car,4.0,0.75
2024-05-11 14:49:00,person,1,0.67,bird,4.0,0.85,,,
2024-05-12 04:24:00,newspaper,2,0.8,,,,,,
2024-05-12 21:35:00,skunk,2,0.73,,,,,,
2024-05-12 17:34:00,dog,2,0.74,person,1.0,0.93,cat,3.0,0.54
2024-05-12 16:39:00,dog,5,0.72,bird,2.0,0.55,,,
2024-05-12 09:14:00,prime van,4,0.7,car,4.0,0.58,,,
2024-05-13 07:00:00,school bus,1,0.78,,,,,,
2024-05-13 15:27:00,school bus,3,0.72,,,,,,
2024-05-13 14:35:00,mail truck,1,0.93,,,,,,
2024-05-13 22:08:00,racoon,1,0.8,,,,,,
2024-05-13 02:45:00,racoon,2,0.92,,,,,,
2024-05-13 09:18:00,prime van,3,0.87,stroller,1.0,0.82,,,
2024-05-13 12:56:00,bird,5,0.63,cat,2.0,0.78,prime van,2.0,0.73
2024-05-13 08:56:00,bicycle,5,0.97,bird,5.0,0.88,ups truck,1.0,0.6
2024-05-14 07:11:00,school bus,3,0.99,,,,,,
2024-05-14 15:28:00,school bus,1,0.98,,,,,,
2024-05-14 14:22:00,mail truck,3,0.8,,,,,,
2024-05-14 06:50:00,garbage truck,1,0.94,,,,,,
2024-05-14 07:51:00,recycling truck,1,0.7,,,,,,
2024-05-14 01:28:00,police car,2,0.97,,,,,,
2024-05-14 15:19:00,dog,5,0.98,,,,,,
2024-05-14 15:33:00,ups truck,2,0.61,person,1.0,0.82,,,
2024-05-14 11:20:00,bicycle,5,0.58,truck,4.0,0.59,cat,5.0,0.61
2024-05-15 07:14:00,school bus,2,0.94,,,,,,
2024-05-15 15:27:00,school bus,2,0.84,,,,,,
2024-05-15 14:05:00,mail truck,2,0.72,,,,,,
2024-05-15 12:46:00,cat,4,0.79,fedex truck,4.0,0.98,,,
2024-05-15 06:18:00,prime van,2,0.84,person,2.0,0.93,,,
2024-05-15 15:29:00,cat,1,0.66,stroller,2.0,0.5,,,
2024-05-16 07:20:00,school bus,2,0.98,,,,,,
2024-05-16 15:15:00,school bus,3,0.93,,,,,,
2024-05-16 14:37:00,mail truck,1,0.75,,,,,,
2024-05-16 07:56:00,skunk,2,0.98,,,,,,
2024-05-16 07:17:00,car,3,0.76,fedex truck,2.0,0.74,ups truck,2.0,0.82
2024-05-16 17:26:00,truck,2,0.89,dog,4.0,0.83,,,
2024-05-16 16:44:00,truck,1,0.83,fedex truck,4.0,0.5,,,
2024-05-17 07:07:00,school bus,2,0.73,,,,,,
2024-05-17 15:01:00,school bus,3,0.85,,,,,,
2024-05-17 14:15:00,mail truck,2,0.81,,,,,,
2024-05-17 08:19:00,truck,5,0.52,,,,,,
2024-05-17 14:00:00,bicycle,5,0.59,chipmunk,1.0,0.74,prime van,5.0,0.56
2024-05-17 10:38:00,ups truck,4,0.98,,,,,,
2024-05-18 22:18:00,racoon,1,0.96,,,,,,
2024-05-18 04:12:00,racoon,2,0.99,,,,,,
2024-05-18 18:01:00,fedex truck,2,0.85,chipmunk,3.0,0.6,,,
2024-05-18 11:38:00,cat,1,0.66,,,,,,
2024-05-18 06:03:00,bird,4,0.66,cat,1.0,0.98,,,
2024-05-19 04:35:00,newspaper,2,0.97,,,,,,
2024-05-19 18:24:00,ups truck,1,0.81,stroller,3.0,0.69,,,
2024-05-19 18:54:00,bird,1,0.84,truck,5.0,0.7,,,
2024-05-19 17:02:00,fedex truck,5,0.76,person,2.0,0.73,,,
2024-05-20 07:18:00,school bus,1,0.77,,,,,,
2024-05-20 15:14:00,school bus,2,0.97,,,,,,
2024-05-20 14:39:00,mail truck,2,0.87,,,,,,
2024-05-20 07:19:00,ups truck,5,0.95,,,,,,
2024-05-20 07:56:00,dog,2,0.74,bird,2.0,0.61,,,
