timestamp,label_1,count_1,avg_conf_1,label_2,count_2,avg_conf_2,label_3,count_3,avg_conf_3
2025-01-07 07:07:00,school bus,2,0.85,,,,,,
2025-01-07 15:02:00,school bus,2,0.92,,,,,,
2025-01-07 14:51:00,mail truck,1,0.86,,,,,,
2025-01-07 06:38:00,garbage truck,3,0.72,,,,,,
2025-01-07 07:33:00,recycling truck,3,0.91,,,,,,
2025-01-07 00:55:00,skunk,2,0.87,,,,,,
2025-01-07 22:38:00,racoon,3,0.72,,,,,,
2025-01-07 02:02:00,racoon,1,0.73,,,,,,
2025-01-07 09:39:00,snow plow,1,0.94,,,,,,
2025-01-07 14:26:00,person,3,0.93,,,,,,
2025-01-07 12:17:00,chipmunk,4,0.81,truck,3,0.93,,,
2025-01-07 14:11:00,person,3,0.97,fedex truck,5,0.8,,,
